Course Id,Course-Title,Is Paid,Level,Published Date,Subject,URL1,CONTENT DURATION in HR's,Num Lectures,Price,Reviews,Students,Year,Revenue_Estimate,Review_Ratio
1070968,Ultimate Investment Banking Course,Paid,All Levels,2017-01-18,Business Finance,https://www.udemy.com/ultimate-investment-banking-course/,0.045138889,51,200,23,2147,2017,429400,0.01071262226362366
1113822,Complete GST Course & Certification - Grow Your CA Practice,Paid,All Levels,2017-09-03,Business Finance,https://www.udemy.com/goods-and-services-tax/,39.0,274,75,923,2792,2017,209400,0.33058739255014324
1006314,Financial Modeling for Business Analysts and Consultants,Paid,Intermediate Level,2016-12-19,Business Finance,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,2.5,51,45,74,2174,2016,97830,0.03403863845446182
1210588,Beginner to Pro - Financial Analysis in Excel 2017,Paid,All Levels,2017-05-30,Business Finance,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,3.0,36,95,11,2451,2017,232845,0.00448796409628723
1011058,How To Maximize Your Profits Trading Options,Paid,Intermediate Level,2016-12-13,Business Finance,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,2.0,26,200,45,1276,2016,255200,0.03526645768025078
192870,Trading Penny Stocks: A Guide for All Levels In 2017,Paid,All Levels,2014-02-05,Business Finance,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,3.0,25,150,138,9221,2014,1383150,0.014965838846112136
739964,Investing And Trading For Beginners: Mastering Price Charts,Paid,Beginner Level,2016-02-21,Business Finance,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,1.0,26,65,178,1540,2016,100100,0.11558441558441558
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",Paid,All Levels,2015-01-30,Business Finance,https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,2.5,23,95,148,2917,2015,277115,0.050737058621871785
476268,Options Trading 3 : Advanced Stock Profit and Success Method,Paid,Expert Level,2015-05-27,Business Finance,https://www.udemy.com/day-trading-stock-options-3/,2.5,38,195,34,5172,2015,1008540,0.006573859242072699
1167710,The Only Investment Strategy You Need For Your Retirement,Paid,All Levels,2017-04-18,Business Finance,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,1.0,15,200,14,827,2017,165400,0.016928657799274487
592338,Forex Trading Secrets of the Pros With Amazon's AWS,Paid,All Levels,2015-11-09,Business Finance,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,5.0,76,200,93,4284,2015,856800,0.021708683473389355
975046,Trading Options With Money Flow,Paid,All Levels,2016-10-18,Business Finance,https://www.udemy.com/trading-options-using-money-flow/,1.0,17,200,42,1380,2016,276000,0.030434782608695653
742602,Financial Management Risk and Return For Securities,Paid,All Levels,2016-03-02,Business Finance,https://www.udemy.com/risk-and-return-finance/,1.5,19,30,21,3607,2016,108210,0.005822012752980316
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,Paid,All Levels,2016-03-16,Business Finance,https://www.udemy.com/the-complete-trading-course/,2.0,16,195,52,4061,2016,791895,0.012804727899532135
1196544,Python Algo Trading: Sentiment Trading with News,Paid,All Levels,2017-04-28,Business Finance,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,7.0,42,200,19,294,2017,58800,0.06462585034013606
504036,Short Selling: Learn To Sell Stocks Before The Fall,Paid,Intermediate Level,2015-06-22,Business Finance,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,1.5,19,75,106,2276,2015,170700,0.04657293497363796
719698,Basic Technical Analysis: Learn the structure of the market,Paid,Beginner Level,2016-08-01,Business Finance,https://www.udemy.com/learn-basic-technical-analysis/,1.5,16,20,79,4919,2016,98380,0.016060174832282986
564966,The Complete Chart Pattern Trading Course: A Proven Approach,Paid,All Levels,2015-10-08,Business Finance,https://www.udemy.com/make-money-trading-stocks-from-home/,4.0,52,200,115,2666,2015,533200,0.043135783945986494
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,Paid,All Levels,2015-09-21,Business Finance,https://www.udemy.com/7-deadly-mistakes-of-investing/,1.5,23,50,24,5354,2015,267700,0.0044826298094882335
58977,Financial Statements Made Easy,Paid,Beginner Level,2013-08-06,Business Finance,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,0.583333333,12,95,249,8095,2013,769025,0.030759728227300803
1242604,Winning Forex Trading with Live Forex Trading Examples,Paid,All Levels,2017-05-06,Business Finance,https://www.udemy.com/forexmacross/,2.0,25,200,3,809,2017,161800,0.003708281829419036
798740,Forex Traders - Create Your First Trading Robot. No Coding!,Paid,All Levels,2016-02-05,Business Finance,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,4.0,39,200,84,2295,2016,459000,0.036601307189542485
